No,case_id,状況,メモ,ケース名,概要,現行タグ,修正後タグ,変更あり?,コメント・理由,確認者,CALL4最終判断,URL
11,I0000069,アーカイブ,,「LINE」を用いた住民票請求サービスの適法性確認請求事件【アーカイブ】,自宅や職場で、住民票の請求ができれば便利だと思いませんか。 LINEアプリと身分証明書のみ手元にあれば、いつでも、どこでも、住民票の請求ができるというサービスが、2020年4月東京都渋谷区で始まりました。 その直後、総務省はストップを掛けました。オンライン請求では、マイナンバーカードを使った電子署名を行えという主張です。 技術革新は誰のためのものか、これを問う裁判です。,公正な手続,公正な手続,,,,,https://www.call4.jp/info.php?type=items&id=I0000069
12,I0000070,アーカイブ,,「人間を育てる教員に、人間らしい働き方を」訴訟【アーカイブ】,一人の現職の教員が戦っています。「私たちの世代で、この長時間労働に歯止めをかけなければならない」一個人の利益のためではなく、教育の未来について考え、危機感から戦っているのです。これは、一教員だけの問題ではない。教育に関わる全ての人の問題です。教育の未来のため、支援をお願いします。 追記：2023年3月8日最高裁への上告は受理されず棄却され、この裁判は終了しました。,働き方,働き方,,,,,https://www.call4.jp/info.php?type=items&id=I0000070
13,I0000071,アーカイブ,,コロナ禍、日本社会の理不尽を問う（コロナ特措法違憲訴訟）【アーカイブ】,法的義務のない時短要請に適法に従わなかった原告。原告が提出した弁明書に対して十分な回答をすることなく、東京都は施設使用制限命令を発出しました。「訴額１円」の国家賠償請求で「コロナ特措法」及び本件命令の違憲性と民主主義国家のあり方を問います。,公正な手続,公正な手続,,,,,https://www.call4.jp/info.php?type=items&id=I0000071
14,I0000075,アーカイブ,,オペなしで！戸籍上も「俺」になりたい裁判【アーカイブ】,日本で戸籍の性別変更をするためには、「生殖腺やその機能がないこと」が法律上求められており、「卵巣や精巣の摘出手術」が事実上必要になります。 “当事者は皆そういう手術をしたいんじゃないの？”－それは、誤解です。 手術自体、心身への負担がとても大きく、手術を望まない人や望んでもできない人たちがいます。 自分の身体に関する決定権は自分にあり、その決定が当たり前に尊重される社会を目指します。,ジェンダー・セクシュアリティ,ジェンダー・セクシュアリティ,,,,,https://www.call4.jp/info.php?type=items&id=I0000075
15,I0000076,アーカイブ,,「琉球人のご先祖の遺骨返還を」訴訟【アーカイブ】,現在の沖縄県には、琉球人という先住民族が居住しており、死者はその地の墓に弔われてきました。しかし、1929年、京都帝国大学の金関丈夫氏らは、遺族の許可なく墓を荒らし、遺骨は研究目的のため持ち去られました。この遺骨は現在も、沖縄県教育庁に保管されています。沖縄県教育庁は遺骨の返還を求める声に耳を貸しません。そこで、63体の遺骨が返還され、子孫らによって祭祀されるために提起されたのが本訴訟です。,沖縄,沖縄,,,,,https://www.call4.jp/info.php?type=items&id=I0000076
16,I0000078,アーカイブ,,教育公務員の兼業のあり方を問う訴訟【アーカイブ】,教員の兼業が、不明瞭な基準のもと制限されています。教員の兼業は法律上、本務遂行に支障のない限り認められると規定されています。原告は上記の規定を踏まえ、都に対し書籍出版に関する兼業許可を求めましたが、都はこれを認めず、判断の基準も示しませんでした。兼業は、教員の能力を磨く機会となるだけでなく、得た経験や知識は、教育活動を通じて子供たちに還元されます。豊かな教育の実現のため、基準の明確化を求めます。,"公正な手続, 働き方","公正な手続, 働き方",,,,,https://www.call4.jp/info.php?type=items&id=I0000078
17,I0000080,アーカイブ,,地方議会に横行する「少数派議員潰し」に立ち向かう訴訟【アーカイブ】,湯河原町の税金滞納者(約2000件)の個人情報を町議会議員に配布。驚愕し、議会でただした新人議員に対し２回の懲罰、それを議会報で大体的に広報。これに対し、懲罰の取消と名誉の回復を求める訴訟。加えて、この滞納者リストが議会の中でどう扱われてきたのかを明らかにするための情報公開訴訟。少数派であっても、おかしいことはおかしいと言える地方議会に。議員と町民オンブズマンが起こした２つの訴訟を応援ください！,政治参加・表現の自由,政治参加・表現の自由,,,,,https://www.call4.jp/info.php?type=items&id=I0000080
18,I0000083,アーカイブ,※現行4タグ（原則上限3の例外）。3つに減らすか4つのまま維持するか要判断,ベトナム人技能実習生リンさんの死体遺棄罪刑事事件【アーカイブ】,2021年７月、熊本地裁はある22歳のベトナム人女性に有罪判決を言い渡しました。 彼女の罪名は、「死体遺棄」罪。 しかし、彼女のしたことは本当に「死体遺棄」だったのでしょうか。 本件は彼女の問題だけではなく、技能実習生の制度自体の問題点を問う訴訟です。,"外国にルーツを持つ人々, 刑事司法, ジェンダー・セクシュアリティ, 働き方","外国にルーツを持つ人々, 刑事司法, ジェンダー・セクシュアリティ, 働き方",,,,,https://www.call4.jp/info.php?type=items&id=I0000083
19,I0000084,アーカイブ,,大川原化工機事件 〜無実で約１年勾留「人質司法」問題をただす〜【アーカイブ】,経済産業大臣に輸出許可申請が必要となる噴霧乾燥機を無許可で輸出したとして逮捕・起訴された事件で、東京地検は、輸出規制対象に該当するかどうか疑いが生じたとして、初公判の直前に起訴を取り消しました。逮捕された3名のうち2名は保釈が認められるまで1年近く拘置所に勾留され、もう1名は勾留中に体調を崩し、起訴取消を知ることなく亡くなりました。なぜこのようなことが起きたのか、捜査の違法性を徹底追及します。,刑事司法,刑事司法,,,,,https://www.call4.jp/info.php?type=items&id=I0000084
20,I0000086,アーカイブ,,優生保護法に奪われた人生を取り戻す裁判【アーカイブ】,日本に約25年前まであった優生保護法により、国から「子供を産んではいけない」と言われ、本人の同意なく強制的に不妊手術を受けた人たちがいます。「不良な存在」として尊厳を傷つけられた被害者たちが、国に対して謝罪と補償・差別の是正を求めて起こした裁判の、裁判費用を集める支援プロジェクトです。,医療・福祉・障がい,医療・福祉・障がい,,,,,https://www.call4.jp/info.php?type=items&id=I0000086
21,I0000087,アーカイブ,,赤ちゃん取り違え被害者に「出自を知る権利を」訴訟【アーカイブ】,原告は昭和３３年４月１０日頃に東京都立墨田産院での出生直後、他の新生児と取り違えられ、その賠償責任については平成１８年の裁判で認められたにもかかわらず、その後も東京都が一切の事実調査を拒否し、未だに原告が生みの親と接触することができない状況にあるという事件です。まだ見ぬ両親の寿命も限られていることから、この度やむなく原告は、東京都に対して、調査の実施等を求めて改めて提訴しました。,"公正な手続, 情報公開","公正な手続, 情報公開",,,,,https://www.call4.jp/info.php?type=items&id=I0000087
22,I0000090,アーカイブ,,司法の独立を脅かす岡口裁判官の罷免訴追に反対します！【アーカイブ】,岡口基一裁判官がSNSでの投稿・発言を理由に弾劾裁判にかけられました。司法の独立の意義が多くの人に伝わることを願い、罷免が不当であることを広く社会に訴えます。,政治参加・表現の自由,政治参加・表現の自由,,,,,https://www.call4.jp/info.php?type=items&id=I0000090
23,I0000092,アーカイブ,,イラク戦争検証報告書情報公開訴訟【アーカイブ】,イラク戦争に関して、当時の外務省の対応が適切であったかについての検証結果が取りまとめられた報告書が非公開とされ簡単な概要のみの公表となったため、情報公開を求めたところ不開示との決定がされました。この不開示処分の取消し及び不開示部分につき開示決定の義務付けを求めた事件です。 ※この事件は、訴訟資料アーカイブプロジェクトの対象事件です。訴訟はすでに終結しています。,情報公開,情報公開,,,,,https://www.call4.jp/info.php?type=items&id=I0000092
24,I0000093,アーカイブ,,日米合同委員会議事録情報公開訴訟【アーカイブ】,日米合同委員会の議事録非公開の根拠とされる日米双方の合意により非公表とするとの取り決めについて、情報公開請求で不開示となったため提訴しましたが、のちに取り決め部分は国が別訴訟で証拠提出して公開状態になっていたことが判明しました。そこで、当初の不開示決定が違法であるとして国家賠償請求に変更して争った事件です。 ※この事件は、訴訟資料アーカイブプロジェクトの対象事件です。訴訟はすでに終結しています。,情報公開,情報公開,,,,,https://www.call4.jp/info.php?type=items&id=I0000093
25,I0000095,アーカイブ,,『宮本から君へ』助成金不交付決定取消訴訟【アーカイブ】,映画『宮本から君へ』への日本芸術文化振興会の助成金不交付決定処分に強く抗議し、処分の取り消しを求めます。このたびの高裁判決によって、今後、行政が文化芸術や学術関連の補助金・助成金について、専門家の判断を事実上無視し、恣意的な交付・不交付の審査が行われるという危険が生じています。市民の表現の自由等への萎縮効果は絶大です。私たちは上告し、最後まで闘います。ご支援よろしくお願いいたします。,"公正な手続, 政治参加・表現の自由","公正な手続, 政治参加・表現の自由",,,,,https://www.call4.jp/info.php?type=items&id=I0000095
26,I0000104,アーカイブ,,公安警察による市民運動の監視を許さない。市民の「もの言う」自由を守るための訴訟【アーカイブ】,岐阜県大垣市に風力発電施設計画が浮上し、健康被害や土砂災害などを心配した地域住民が勉強会を開いたところ、大垣署警備課（公安）が事業者を呼んで、勉強会主催者とその知人ら計4名の個人情報を提供しました。「このような人物」が連携して市民運動に発展すると「厄介だ」というのです。法的根拠なく個人情報を収集し利用する公安警察のありようを問い、「もの言う」自由を守っていくために4名が提訴しました。,"公正な手続, 政治参加・表現の自由, 個人情報・プライバシー","公正な手続, 政治参加・表現の自由, 個人情報・プライバシー",,,,,https://www.call4.jp/info.php?type=items&id=I0000104
27,I0000105,アーカイブ,,「子どもと向き合う時間がほしい」児童相談所の労働環境改善を！訴訟【アーカイブ】,原告の飯島さんは、子ども電話相談等を通じて、児童相談所の児童を支える仕事をしたいと志し児童相談所職員となりました。しかし、入所した児童相談所では研修制度の不備や人員の慢性的不足からくる長時間労働が常態化していました。 この訴訟を通じて、児童相談所の労働環境について問題提起をし、慢性的な人員不足の解消等を実現し、職員が、一人一人の児童と充分に向き合える環境が整うことを目指します。,"働き方, 医療・福祉・障がい","働き方, 医療・福祉・障がい",,,,,https://www.call4.jp/info.php?type=items&id=I0000105
28,I0000109,アーカイブ,,新宿留置場事件【アーカイブ】,新宿警察署の留置施設に収容されていた原告（２０歳代の男性）が留置担当官と議論になり、保護室に連行され、パンツ一丁にされ、ベルト手錠、捕縄等で身体を拘束された。原告は「垂れ流せよ。みんなそうしてるから。」と言われ、拘束され寝転がされた状態で、パンツをはいたまま排泄させられた。このように保護室＋拘束をセットにしての虐待がルーティンとして行われている、新宿警察署の取り扱いに対する国賠請求事件です。,刑事司法,刑事司法,,,,,https://www.call4.jp/info.php?type=items&id=I0000109
29,I0000111,アーカイブ,,日米同性カップル在留資格訴訟  〜家族そろって日本で暮らすために〜【アーカイブ】,日本国籍-外国籍の同性カップルが、家族そろって日本で暮らすために。アメリカ国籍のアンドリューさんは、同性パートナーである日本国籍の康平さんと日本での生活を続けるため、「定住者」の在留資格申請をしましたが、認められませんでした。パートナーとの関係に基づく安定した在留資格が、同性カップルには認められていないのです。そこで、「定住者」の在留資格を認めること及び国家賠償を求めるのが本ケースです。,"外国にルーツを持つ人々, ジェンダー・セクシュアリティ","外国にルーツを持つ人々, ジェンダー・セクシュアリティ",,,,,https://www.call4.jp/info.php?type=items&id=I0000111
30,I0000112,アーカイブ,,家事労働者にも労災認定を！訴訟 【アーカイブ】,2015年5月、寝たきりの高齢者のお宅で家事業務や介護業務のため、住み込みで1週間ほぼ24時間休みなしで働いていたAさんが亡くなりました。しかし、国は家事労働者には労働基準法が適用されないことを理由に労災を認定しませんでした。 遺族は、家事労働者に労災が認められないのは不当だとして、不認定処分の取り消しを求めて提訴しました。これは、すべての家事労働者の権利回復に関わる裁判です。,働き方,働き方,,,,,https://www.call4.jp/info.php?type=items&id=I0000112
31,I0000119,アーカイブ,,“コロナ感染者立ち寄りで店名公表”は違法！訴訟【アーカイブ】,2020年7月31日に徳島県知事は記者会見で、当時はまだ数少なかった新型コロナ感染者が20分立ち寄ったラーメン店名を公表。結果、深刻な風評被害が生じました。店長・従業員のコロナ陰性が確認されており、店からはクラスターはもちろん感染者も発生しなかったにかかわらず、その事実は公表されませんでした。このような一方的な公表は、市民の不安を煽るだけの行政による不合理な飲食店いじめに他なりません。,"公正な手続, 環境・災害","公正な手続, 環境・災害",,,,,https://www.call4.jp/info.php?type=items&id=I0000119
32,I0000121,アーカイブ,,神戸石炭訴訟｜気候変動と大気汚染を防ぐため、石炭火力発電所新設は取り消しを！【アーカイブ】,神戸市灘区の石炭火力発電所新設計画に対して、地域住民から反対の声があがっています。PM2.5をはじめとした大気汚染物質と、市全域の排出量に匹敵する量のCO2を排出する発電所。気候変動の影響が顕在化している中、被害を回避するための司法の役割を問います。 ※この事件は、最高裁が原告らの上告を棄却し訴訟はすでに終結しています。みなさまの応援の声を募集しています。,環境・災害,環境・災害,,,,,https://www.call4.jp/info.php?type=items&id=I0000121
33,I0000125,アーカイブ,,婚外子国籍訴訟 —国籍法3条1項は違憲—【アーカイブ】,結婚していない日本人の父親と日本人ではない母親との間に生まれた子どもは、生まれた後に日本人の父親から認知されたとしても、両親が結婚をしなければ日本国籍を取得することができませんでした。日本国籍を与える条件として両親の結婚を定めた国籍法旧3条1項の違憲性を争った事件です。 ※この事件は、訴訟資料アーカイブプロジェクトの対象事件です。訴訟はすでに終結しています。,外国にルーツを持つ人々,外国にルーツを持つ人々,,,,,https://www.call4.jp/info.php?type=items&id=I0000125
34,I0000133,アーカイブ,,「イチョウと住民自治を守ろう」訴訟【アーカイブ】,文教の街、神田で、古くから人々に親しまれてきた街路樹が、住民たちに対する十分な説明もないまま、伐採され始めています。千代田区は、住民との対話を拒絶したまま、強硬に計画を推し進め、反対する住民たちを排除しようとしています。イチョウ並木と、住民自治の原則を守るため、住民たちは伐採が行われないよう毎夜木の見守りを行いながら、司法にも救済を求めています。,"公正な手続, 環境・災害","公正な手続, 環境・災害",,,,,https://www.call4.jp/info.php?type=items&id=I0000133
35,I0000141,アーカイブ,,要件を満たす島民の請求を市長が拒否！石垣島住民投票の権利を問う裁判【アーカイブ】,石垣島では2018年に市条例に基づく市民発議での住民投票請求がなされました。しかし、請求要件を満たしたにもかかわらず住民投票は実施されませんでした。この問題には、住民投票のテーマが自衛隊配備という安全保障に関わる国策事業であることが背景にあります。市民生活と自然を守ろうと足元を見つめて立ち上がった運動が、安全保障の議論を巻き込んだ地方自治と民主主義を守る戦いに発展しています。,"公正な手続, 政治参加・表現の自由, 沖縄","公正な手続, 政治参加・表現の自由, 沖縄",,,,,https://www.call4.jp/info.php?type=items&id=I0000141
36,I0000160,アーカイブ,,刑務所での強制ひげ剃りと懲罰 ～医師の所見を無視した処遇の違法性を問う手書き裁判～【アーカイブ】,私は、金属アレルギー症状があるのに刑務所で無理やりひげを剃られ、これを拒否したことを理由に懲罰を受けました。自分で訴状を作って提訴し、一審でひげ剃りと懲罰が違法だったことが認められました。ただし、このほかの刑務所の違法行為については認められず、慰謝料額はわずかです。控訴審ではこのほかの刑務所の違法行為を争い、慰謝料の増額を求めています。これは受刑者の権利や刑務所での人権保障のあり方を問う裁判です。,"刑事司法, 医療・福祉・障がい","刑事司法, 医療・福祉・障がい",,,,,https://www.call4.jp/info.php?type=items&id=I0000160
37,I0000165,アーカイブ,,「ヒグマハンターの猟銃を取り戻す」訴訟【アーカイブ】,その日、原告が一匹の子グマに対して放った弾丸は、紛れもなく、近隣住民をクマ被害から守るためのものでした。原告は市から依頼を受け、周囲の状況に配慮して発射しましたが、その8ヶ月後、危険な発射行為だったとして、原告が猟銃を所持する許可が取り消されてしまいます。このケースは、猟銃所持の許可の取消しは違法であると主張し、クマ被害に対応するハンターの地位、市民の安全や平穏な生活環境を守るための訴訟です。,公正な手続,公正な手続,,,,,https://www.call4.jp/info.php?type=items&id=I0000165
38,I0000171,アーカイブ,,入管職員による人種差別と暴行事件【アーカイブ】,2020年、アメリカ国籍のマーク・ゴードンさんは、石鹸をゴミ箱に投げ入れたという理由だけで暴力的な拘束を受けました。複数のヘルニア手術歴があるにもかかわらず、職員に激しく押さえつけられ、首、背中、四肢を押さえつけられました。呼吸困難に陥り病院へ搬送を訴えたにもかかわらず、放置されました。これは人種差別的な虐待であり、拷問および人権侵害です。,外国にルーツを持つ人々,外国にルーツを持つ人々,,,,,https://www.call4.jp/info.php?type=items&id=I0000171
39,I0000031,進行中,,結婚の自由をすべての人に訴訟（同性婚訴訟）,法律上の性別が同じ人どうしは、日本では結婚できません。 2019年2月14日、札幌、東京、名古屋、大阪の各地方裁判所で提訴、9月5日には福岡地裁でも提訴しました。 さらに、2021年3月26日、東京地裁で新たに提訴しました。 本ケースは、日本初の同性婚についての集団訴訟（「結婚の自由をすべての人に」訴訟）です。 法律上の性別にかかわらず結婚できることを目指しています。,ジェンダー・セクシュアリティ,ジェンダー・セクシュアリティ,,,,,https://www.call4.jp/info.php?type=items&id=I0000031
40,I0000052,進行中,,警察庁が保有する秘密個人情報ファイル簿の情報公開訴訟,警察庁の秘密ファイルの開示を求めています。 ※2025年6月3日に、高裁判決を破棄して差し戻す最高裁判決が言い渡され、事件は東京高裁に係属しています。,"刑事司法, 情報公開","刑事司法, 情報公開",,,,,https://www.call4.jp/info.php?type=items&id=I0000052
41,I0000053,進行中,,鬼怒川大水害訴訟,２０１５年９月９日の「平成２７年９月関東・東北豪雨」時に鬼怒川が溢水・越水して、茨城県常総市で大水害が発生しました。国が自然堤防の掘削を適切に対処しなかったり、低い堤防を放置していたことが、水害を引き起こし、被害を拡大しました。大水害で被害を受けた私たち原告は、河川行政の過ちを今後繰り返さないためにも、行政の責任を問うこの訴訟が必要だと考えています。,"公正な手続, 環境・災害","公正な手続, 環境・災害",,,,,https://www.call4.jp/info.php?type=items&id=I0000053
42,I0000061,進行中,,野村ダム緊急放流による水害訴訟,２０１８年７月７日、野村ダムが緊急放流を実施。約６５０棟が浸水、５名が死亡した。原因は、国や野村ダム管理所の危機対応の杜撰さにある。２度と同じ悲劇が起こらないよう、野村の未来を守るため訴訟します。,"公正な手続, 環境・災害","公正な手続, 環境・災害",,,,,https://www.call4.jp/info.php?type=items&id=I0000061
43,I0000062,進行中,,羽田空港新ルート設定の取消訴訟,都心住宅密集地や臨海コンビナート周辺の原告ら住民・労働者の生命・環境・安全・健康を守るために 、本件訴訟による行政処分の取消を通じて 、都心・臨海コンビナート上空の低空飛行をやめさせる、羽田空港の離着陸については、これまでの原則通り、海上ルートを守らせる、これが、原告らの願いであり 、本件訴訟の目的でもある 。,"公正な手続, 環境・災害","公正な手続, 環境・災害",,,,,https://www.call4.jp/info.php?type=items&id=I0000062
44,I0000067,進行中,,「同性パートナーにも犯罪被害の遺族給付金を」訴訟,２０年以上もの間、生活を共にしてきた同性のパートナーを殺害された者が、「事実上婚姻関係と同様の事情にあった者」として、犯罪被害給付制度の遺族給付金の支給を求めて申請を行いました。しかし、愛知県公安委員会は、申請者と本件被害者が、法律上同性であること等を理由に、給付金を支給しない旨の裁定をしました。これを不服として、名古屋地方裁判所に不支給処分の取消を求める訴えを提起しました。,"刑事司法, ジェンダー・セクシュアリティ","刑事司法, ジェンダー・セクシュアリティ",,,,,https://www.call4.jp/info.php?type=items&id=I0000067
45,I0000081,進行中,,市街地でＢＳＬ４の研究をしないでください,長崎大学が計画し、国が支援するＢＳＬ４施設は、エボラウイルスのような致死的病原体を扱います。 しかし、住宅地から５０ｍしか離れていないため、住民はいつ感染するか、怯える毎日を送らなければなりません。 ウイルスに感染する恐怖から近隣住民を守るため、ＢＳＬ４施設の差止訴訟を提起しましたが、裁判中にＢＳＬ４施設としての指定がなされました。そこで、指定取り消し訴訟を提起します。,"公正な手続, 環境・災害","公正な手続, 環境・災害",,,,,https://www.call4.jp/info.php?type=items&id=I0000081
46,I0000082,進行中,,隠される「国の事故調査」プロセスを明らかに！訴訟,2008年、太平洋上で福島県の漁船・第58寿和丸が沈没し、17人が犠牲になった。「波による転覆、沈没」とした国の運輸安全委員会の結論は、生存者の証言や現場海域の油の状況と大きく食い違う。一部専門家が潜水艦との衝突も疑う中、調査報道グループ・フロントラインプレスは国に情報開示請求したが、調査に使用した資料のタイトルすら非開示になった。なぜ、調査プロセスを隠すのか。公文書の開示を求めて提訴した。,情報公開,情報公開,,,,,https://www.call4.jp/info.php?type=items&id=I0000082
47,I0000085,進行中,,「人種差別を許さない」訴訟　～警察官による母子の不当聴取と個人情報の漏洩～,外国人女性と３歳の娘は、「国へ帰れ」等と人種差別的言動をする男性から不実の通報をされました。母子は警察署で男性の言い分を認めるよう数時間迫られた上、住所等の個人情報を承諾なく男性に開示されています。 警察官による人種差別行為をなくし、誰でも安心して暮らせる社会の実現のために裁判をします。,"外国にルーツを持つ人々, 刑事司法","外国にルーツを持つ人々, 刑事司法",,,,,https://www.call4.jp/info.php?type=items&id=I0000085
48,I0000094,進行中,,ウィシュマさん名古屋入管死亡事件,２０２１年３月６日、名古屋入管に収容されていたウィシュマ・サンダマリさんが死亡しました。２月１５日に行なわれた尿検査はウィシュマさんが饑餓（きが）状態にあることを示していました。自分で体を起こすことも、食事をすることも、トイレもできないほど衰弱していました。しかし、ウィシュマさんに適切な医療は提供されませんでした。この訴訟を通じて、なぜこのようなことが起きたのかを明らかにしたいと思います。,外国にルーツを持つ人々,外国にルーツを持つ人々,,,,,https://www.call4.jp/info.php?type=items&id=I0000094
49,I0000096,進行中,,「日本の入管収容は国際人権法違反」訴訟,2020年、国連恣意的拘禁作業部会は、「日本の入管収容は自由権規約に違反している」という意見を発表しました。この訴訟では、日本の裁判所においても、日本の入管収容が国際人権法に違反していることを明らかにすることで、これからの入管収容のあり方を変えていきたいと思います。,外国にルーツを持つ人々,外国にルーツを持つ人々,,,,,https://www.call4.jp/info.php?type=items&id=I0000096
50,I0000106,進行中,,本人の意思を無視して日本国籍を一方的にはく奪する「国籍法11条1項は違憲」訴訟,国籍法11条1項により、外国籍を取得する際に日本国籍を失うことになっても良いかの意思確認もされずに、自動的に日本国籍をはく奪されてしまった人たちが世界中にたくさんいます。日本で育ち海外に渡った人や、日本国内で国際カップルから生まれた子どもたちなどです。現在、世界の約8割の国は複数国籍を認めています。国際化が進んだ社会で、自分の意思と無関係に国籍をはく奪されることはもう終わりにしたいと考えています。,公正な手続,公正な手続,,,,,https://www.call4.jp/info.php?type=items&id=I0000106
51,I0000114,進行中,※近々和解・アーカイブ予定,受刑者にも適切な医療を！刑務所医療過誤事件,受刑中に十分な医療を受けられず死亡した男性の母と婚約者が起こす国家賠償請求訴訟です。刑事施設の対応は適切なものであったかどうか、そして、日本の刑事施設の医療体制は十分なものであるといえるかを追求します。この訴訟は、刑務所のあり方について社会全体で考えるきっかけとなる、公共訴訟です。皆様のご支援をお願いいたします。,"公正な手続, 刑事司法, 医療・福祉・障がい","公正な手続, 刑事司法, 医療・福祉・障がい",,,,,https://www.call4.jp/info.php?type=items&id=I0000114
52,I0000115,進行中,,市民との約束を無視して進む「新焼却炉建設」を止める訴訟,かつての沼津市長は、原告らが住む沼津市と駿東郡清水町外原区とが接する地域において、二度とごみ焼却場を作らないと約束し、住民との間で覚書を取り交わしました。しかし、現・市長はこの覚書を無視して、同じ地域に新しいごみ焼却場を作ろうとしています。このような行政の約束破りは、実は全国で相次いでいます。この訴訟は、行政に住民との約束を守らせるための訴訟です。,"公正な手続, 環境・災害","公正な手続, 環境・災害",,,,,https://www.call4.jp/info.php?type=items&id=I0000115
53,I0000116,進行中,,「会計年度任用職員にも労働基本権を！」訴訟,2020年4月、「会計年度任用職員」制度が発足しました。それまで「特別職非常勤職員」として働いていた多くの非正規公務員が、「会計年度任用職員」に切り替えられました。政府は、「特別職非常勤職員」と異なり、「会計年度任用職員」には労働基本権が認められないと主張しています。この訴訟は、憲法で保障された労働基本権を取り戻すことを目指すものです。,"外国にルーツを持つ人々, 働き方","外国にルーツを持つ人々, 働き方",,,,,https://www.call4.jp/info.php?type=items&id=I0000116
